STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;eor
        691;18901230;    5;   0.0;   0;   2;eor
        691;18901231;    5;   0.0;   0;   2;eor
        691;18910101;    5;   0.0;   0;   2;eor
        691;18910102;    5;   0.0;   0;   2;eor
        691;18910103;    5;   2.7;   1;   2;eor
        691;18910104;    5;   4.4;   1;   6;eor
        691;18910105;    5;   1.4;   1;  10;eor
        691;18910106;    5;   0.7;   1;  10;eor
        691;18910107;    5;   1.3;   1;  12;eor
        691;18910108;    5;   0.2;   1;  14;eor
        691;18910109;    5;   0.0;   0;  14;eor
        691;18910110;    5;   0.0;   0;  14;eor
        691;18910111;    5;   2.5;   1;  14;eor
        691;18910112;    5;   1.2;   1;  13;eor
        691;18910113;    5;   1.2;   1;  10;eor
        691;18910114;    5;   0.0;   1;   7;eor
        691;18910115;    5;   0.0;   0;   5;eor
        691;18910116;    5;   1.5;   1;   5;eor
        691;18910117;    5;   0.0;   1;  10;eor
        691;18910118;    5;   0.0;   0;  10;eor
        691;18910119;    5;   0.0;   0;  10;eor
        691;18910120;    5;   6.9;   1;  10;eor
        691;18910121;    5;   4.9;   1;  22;eor
        691;18910122;    5;   0.1;   1;  21;eor
        691;18910123;    5;   9.9;   1;  20;eor
        691;18910124;    5;   9.7;   1;  10;eor
        691;18910125;    5;   0.3;   1;   4;eor
        691;18910126;    5;   0.0;   0;   1;eor
        691;18910127;    5;   0.9;   1;   0;eor
        691;18910128;    5;   1.5;   1;   0;eor
        691;18910129;    5;   0.9;   1;   0;eor
        691;18910130;    5;   0.8;   1;   0;eor
        691;18910131;    5;   1.2;   1;   0;eor
        691;18910201;    5;   0.9;   1;   0;eor
        691;18910202;    5;   0.0;   1;   0;eor
        691;18910203;    5;   2.3;   1;   0;eor
        691;18910204;    5;   0.0;   0;   0;eor
        691;18910205;    5;   0.2;   1;   0;eor
        691;18910206;    5;   0.9;   1;   0;eor
        691;18910207;    5;   0.0;   1;   0;eor
        691;18910208;    5;   0.1;   1;   0;eor
        691;18910209;    5;   0.0;   0;   0;eor
        691;18910210;    5;   0.0;   0;   0;eor
        691;18910211;    5;   0.6;   1;   0;eor
        691;18910212;    5;   0.4;   1;   0;eor
        691;18910213;    5;   0.0;   1;   0;eor
        691;18910214;    5;   0.1;   1;   0;eor
        691;18910215;    5;   0.0;   1;   0;eor
        691;18910216;    5;   0.1;   1;   0;eor
        691;18910217;    5;   0.3;   1;   0;eor
        691;18910218;    5;   0.0;   0;   0;eor
        691;18910219;    5;   0.0;   0;   0;eor
        691;18910220;    5;   0.1;   1;   0;eor
        691;18910221;    5;   0.0;   0;   0;eor
        691;18910222;    5;   0.0;   0;   0;eor
        691;18910223;    5;   0.0;   1;   0;eor
        691;18910224;    5;   0.0;   0;   0;eor
        691;18910225;    5;   0.0;   0;   0;eor
        691;18910226;    5;   0.0;   0;   0;eor
        691;18910227;    5;   0.0;   0;   0;eor
        691;18910228;    5;   0.0;   0;   0;eor
        691;18910301;    5;   0.0;   0;   0;eor
        691;18910302;    5;   0.6;   1;   0;eor
        691;18910303;    5;   1.5;   1;   0;eor
        691;18910304;    5;   0.9;   1;   0;eor
        691;18910305;    5;   3.9;   1;   0;eor
        691;18910306;    5;   5.7;   1;   0;eor
        691;18910307;    5;  10.5;   1;   3;eor
        691;18910308;    5;   7.0;   1;   3;eor
        691;18910309;    5;  10.0;   1;   0;eor
        691;18910310;    5;   6.3;   1;  18;eor
        691;18910311;    5;   6.0;   1;   6;eor
        691;18910312;    5;   0.0;   1;   0;eor
        691;18910313;    5;   0.0;   1;   0;eor
        691;18910314;    5;   0.0;   0;   0;eor
        691;18910315;    5;   0.0;   0;   0;eor
        691;18910316;    5;   0.0;   0;   0;eor
        691;18910317;    5;   0.0;   0;   0;eor
        691;18910318;    5;   0.2;   1;   0;eor
        691;18910319;    5;   0.1;   1;   0;eor
        691;18910320;    5;   1.3;   1;   0;eor
        691;18910321;    5;   1.4;   1;   0;eor
        691;18910322;    5;   0.1;   1;   0;eor
        691;18910323;    5;   0.0;   1;   0;eor
        691;18910324;    5;   0.8;   1;   0;eor
        691;18910325;    5;   2.0;   1;   0;eor
        691;18910326;    5;   2.8;   1;   0;eor
        691;18910327;    5;   2.8;   1;   0;eor
        691;18910328;    5;   3.1;   1;   0;eor
        691;18910329;    5;   3.8;   1;   0;eor
        691;18910330;    5;   3.3;   1;   0;eor
        691;18910331;    5;   1.0;   1;   0;eor
        691;18910401;    5;   0.0;   1;   0;eor
        691;18910402;    5;   0.0;   1;   0;eor
        691;18910403;    5;   0.0;   0;   0;eor
        691;18910404;    5;   0.0;   0;   0;eor
        691;18910405;    5;   1.3;   1;   0;eor
        691;18910406;    5;   6.0;   1;   0;eor
        691;18910407;    5;   5.4;   1;   0;eor
        691;18910408;    5;   9.4;   1;   0;eor
        691;18910409;    5;   0.7;   1;   0;eor
        691;18910410;    5;   0.0;   1;   0;eor
        691;18910411;    5;   0.2;   1;   0;eor
        691;18910412;    5;   2.6;   1;   0;eor
        691;18910413;    5;   2.8;   1;   0;eor
        691;18910414;    5;   4.0;   1;   0;eor
        691;18910415;    5;   0.7;   1;   0;eor
        691;18910416;    5;   9.2;   1;   0;eor
        691;18910417;    5;   5.6;   1;   0;eor
