STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
        691;19150501;19150531;    5;   -999;    42.1;-999;   13.4;eor
        691;19150601;19150630;    5;   -999;    34.1;-999;   17.5;eor
        691;19150701;19150731;    5;   -999;    75.1;-999;   11.4;eor
        691;19150801;19150831;    5;   -999;    92.8;-999;   23.7;eor
        691;19150901;19150930;    5;   -999;    41.7;-999;   10.9;eor
        691;19151001;19151031;    5;   -999;     5.6;-999;    2.2;eor
        691;19151101;19151130;    5;   -999;    46.7;-999;   10.0;eor
        691;19151201;19151231;    5;   -999;   112.5;-999;   21.8;eor
        691;19160101;19160131;    5;   -999;   103.6;-999;   16.7;eor
        691;19160201;19160229;    5;   -999;    49.9;-999;   17.2;eor
        691;19160301;19160331;    5;   -999;    43.9;-999;    6.6;eor
        691;19160401;19160430;    5;   -999;    47.9;-999;    9.4;eor
        691;19160501;19160531;    5;   -999;    77.4;-999;   14.6;eor
        691;19160601;19160630;    5;   -999;    70.6;-999;   14.7;eor
        691;19160701;19160731;    5;   -999;    52.4;-999;   14.3;eor
        691;19160801;19160831;    5;   -999;    60.1;-999;   15.0;eor
        691;19160901;19160930;    5;   -999;    38.1;-999;    9.6;eor
        691;19161001;19161031;    5;   -999;    59.5;-999;   13.2;eor
        691;19161101;19161130;    5;   -999;    71.4;-999;   24.3;eor
        691;19161201;19161231;    5;   -999;    68.7;-999;   11.3;eor
        691;19170101;19170131;    5;   -999;    33.7;-999;    8.7;eor
        691;19170201;19170228;    5;   -999;     8.2;-999;    2.5;eor
        691;19170301;19170331;    5;   -999;    26.2;-999;    5.6;eor
        691;19170401;19170430;    5;   -999;    35.5;-999;    7.7;eor
        691;19170501;19170531;    5;   -999;    16.9;-999;    9.7;eor
        691;19170601;19170630;    5;   -999;    28.2;-999;   15.8;eor
        691;19170701;19170731;    5;   -999;    62.1;-999;   14.7;eor
        691;19170801;19170831;    5;   -999;   135.1;-999;   49.9;eor
        691;19170901;19170930;    5;   -999;    44.2;-999;   15.6;eor
        691;19171001;19171031;    5;   -999;    68.6;-999;   12.2;eor
        691;19171101;19171130;    5;   -999;    30.3;-999;    5.6;eor
        691;19171201;19171231;    5;   -999;    56.2;-999;   22.7;eor
        691;19180101;19180131;    5;   -999;    83.8;-999;   14.4;eor
        691;19180201;19180228;    5;   -999;    72.8;-999;   15.5;eor
        691;19180301;19180331;    5;   -999;     8.1;-999;    2.5;eor
        691;19180401;19180430;    5;   -999;    43.6;-999;    9.1;eor
        691;19180501;19180531;    5;   -999;    32.9;-999;   18.3;eor
        691;19180601;19180630;    5;   -999;    85.3;-999;   20.9;eor
        691;19180701;19180731;    5;   -999;    76.5;-999;   12.9;eor
        691;19180801;19180831;    5;   -999;    97.9;-999;   14.5;eor
        691;19180901;19180930;    5;   -999;    85.0;-999;   14.0;eor
        691;19181001;19181031;    5;   -999;    32.3;-999;    4.9;eor
        691;19181101;19181130;    5;   -999;    16.2;-999;    3.5;eor
        691;19181201;19181231;    5;   -999;    98.1;-999;   14.3;eor
        691;19190101;19190131;    5;   -999;    22.2;-999;    5.1;eor
        691;19190201;19190228;    5;   -999;    21.6;-999;    6.7;eor
        691;19190301;19190331;    5;   -999;    49.8;-999;   13.7;eor
        691;19190401;19190430;    5;   -999;    35.8;-999;    7.7;eor
        691;19190501;19190531;    5;   -999;    19.9;-999;    9.7;eor
        691;19190601;19190630;    5;   -999;    52.4;-999;   14.5;eor
        691;19190701;19190731;    5;   -999;    72.3;-999;   30.0;eor
        691;19190801;19190831;    5;   -999;    42.0;-999;    8.6;eor
        691;19190901;19190930;    5;   -999;    39.4;-999;   12.0;eor
        691;19191001;19191031;    5;   -999;    32.1;-999;    4.4;eor
        691;19191101;19191130;    5;   -999;    73.2;-999;   11.2;eor
        691;19191201;19191231;    5;   -999;   112.6;-999;   17.2;eor
        691;19200101;19200131;    5;   -999;    61.4;-999;   13.6;eor
        691;19200201;19200229;    5;   -999;    26.5;-999;    9.6;eor
        691;19200301;19200331;    5;   -999;    12.6;-999;    2.6;eor
        691;19200401;19200430;    5;   -999;    58.8;-999;    9.4;eor
